SRG GLOBAL LTD,"69,879","30,311.91","29,311.90","(1,000.01)",AUSTRALIA,Industrials,Capital Goods
LYCOPODIUM LTD,"6,249","21,890.23","24,493.61","2,603.38",AUSTRALIA,Industrials,Capital Goods
AUSTIN ENGINEERING LTD,"116,367","21,586.12","18,604.60","(2,981.52)",AUSTRALIA,Industrials,Capital Goods
MAXITRANS INDUSTRIES LTD,"5,755","10,393.43","7,439.96","(2,953.47)",AUSTRALIA,Industrials,Capital Goods
ACROW FORMWORK AND CONSTRUCTIO,"20,610","7,108.12","7,157.10",48.98,AUSTRALIA,Industrials,Capital Goods
ELECTRO OPTIC SYSTEMS HOLDINGS,"3,449","9,630.91","2,466.57","(7,164.34)",AUSTRALIA,Industrials,Capital Goods
ELECTRO OPTIC SYSTEMS HOLDINGS,286,236.02,204.53,(31.49),AUSTRALIA,Industrials,Capital Goods
DOWNER EDI LTD,"848,246","3,240,463.42","2,945,646.63","(294,816.79)",AUSTRALIA,Industrials,Commercial & Professional Services
BRAMBLES LTD,"117,123","795,805.55","862,579.44","66,773.89",AUSTRALIA,Industrials,Commercial & Professional Services
ALS LTD,"79,922","427,826.75","586,955.32","159,128.57",AUSTRALIA,Industrials,Commercial & Professional Services
CLEANAWAY WASTE MANAGEMENT LTD,"330,983","387,751.50","573,553.16","185,801.66",AUSTRALIA,Industrials,Commercial & Professional Services
IPH LTD,"57,606","234,705.24","323,240.17","88,534.93",AUSTRALIA,Industrials,Commercial & Professional Services
SMARTGROUP CORP LTD,"37,003","226,840.60","155,469.64","(71,370.96)",AUSTRALIA,Industrials,Commercial & Professional Services
MCMILLAN SHAKESPEARE LTD,"17,781","171,353.08","119,092.00","(52,261.08)",AUSTRALIA,Industrials,Commercial & Professional Services
SG FLEET GROUP LTD,"58,268","106,656.77","86,146.18","(20,510.59)",AUSTRALIA,Industrials,Commercial & Professional Services
APM HUMAN SERVICES INTERNATION,"22,959","51,635.82","45,310.86","(6,324.96)",AUSTRALIA,Industrials,Commercial & Professional Services
PEOPLE INFRASTRUCTURE LTD,"7,719","26,414.33","15,340.03","(11,074.30)",AUSTRALIA,Industrials,Commercial & Professional Services
AMA GROUP LTD,"97,538","56,712.82","11,402.24","(45,310.58)",AUSTRALIA,Industrials,Commercial & Professional Services
ATLAS ARTERIA LTD,"1,806,759","7,978,691.37","10,013,887.68","2,035,196.31",AUSTRALIA,Industrials,Transportation
TRANSURBAN GROUP,"645,258","5,974,995.87","6,380,573.72","405,577.85",AUSTRALIA,Industrials,Transportation
AURIZON HOLDINGS LTD,"1,646,139","4,680,977.69","4,301,476.43","(379,501.26)",AUSTRALIA,Industrials,Transportation
QUBE HOLDINGS LTD,"313,246","556,495.06","588,051.86","31,556.80",AUSTRALIA,Industrials,Transportation
QANTAS AIRWAYS LTD,"70,043","257,249.17","215,297.86","(41,951.31)",AUSTRALIA,Industrials,Transportation
KELSIAN GROUP LTD,"28,270","160,094.06","110,807.23","(49,286.83)",AUSTRALIA,Industrials,Transportation
ALLIANCE AVIATION SERVICES LTD,"32,248","71,295.43","79,165.96","7,870.53",AUSTRALIA,Industrials,Transportation
A2B AUSTRALIA LTD,"25,428","100,474.97","19,234.12","(81,240.85)",AUSTRALIA,Industrials,Transportation
ARCHER MATERIALS LTD,"26,859","29,789.68","10,158.28","(19,631.40)",AUSTRALIA,Information Technology,Semiconductors & Semiconductor Equipment
LINK ADMINISTRATION HOLDINGS L,"343,991","1,272,228.56","896,507.11","(375,721.45)",AUSTRALIA,Information Technology,Software & Services
COMPUTERSHARE LTD,"41,798","433,464.11","708,212.62","274,748.51",AUSTRALIA,Information Technology,Software & Services
TECHNOLOGY ONE LTD,"77,402","223,224.96","570,044.94","346,819.98",AUSTRALIA,Information Technology,Software & Services
NEXTDC LTD,"70,108","309,498.77","512,951.90","203,453.13",AUSTRALIA,Information Technology,Software & Services
IRESS LTD,"51,744","419,345.72","409,546.08","(9,799.64)",AUSTRALIA,Information Technology,Software & Services
ALTIUM LTD,"19,824","231,357.60","366,836.42","135,478.82",AUSTRALIA,Information Technology,Software & Services
HANSEN TECHNOLOGIES LTD,"51,716","140,604.72","184,925.04","44,320.32",AUSTRALIA,Information Technology,Software & Services
MEGAPORT LTD,"38,735","399,231.08","145,166.87","(254,064.21)",AUSTRALIA,Information Technology,Software & Services
DATA#3 LTD,"44,936","117,849.63","143,995.12","26,145.49",AUSTRALIA,Information Technology,Software & Services
APPEN LTD,"28,372","445,495.72","109,451.13","(336,044.59)",AUSTRALIA,Information Technology,Software & Services
NEARMAP LTD,"134,930","283,446.44","95,568.16","(187,878.28)",AUSTRALIA,Information Technology,Software & Services
WISETECH GLOBAL LTD,"3,596","71,732.48","93,595.08","21,862.60",AUSTRALIA,Information Technology,Software & Services
BRAINCHIP HOLDINGS LTD,"168,746","84,772.54","92,830.55","8,058.01",AUSTRALIA,Information Technology,Software & Services
INFOMEDIA LTD,"69,277","62,883.42","79,556.01","16,672.59",AUSTRALIA,Information Technology,Software & Services
EML PAYMENTS LTD,"86,340","299,637.96","73,027.20","(226,610.76)",AUSTRALIA,Information Technology,Software & Services
BRAVURA SOLUTIONS LTD,"63,860","169,957.26","62,137.36","(107,819.90)",AUSTRALIA,Information Technology,Software & Services
SITEMINDER LTD,"22,644","75,996.56","54,654.72","(21,341.84)",AUSTRALIA,Information Technology,Software & Services
OBJECTIVE CORP LTD,"4,412","53,221.00","41,655.61","(11,565.39)",AUSTRALIA,Information Technology,Software & Services
TYRO PAYMENTS LTD,"76,645","196,506.97","31,622.96","(164,884.01)",AUSTRALIA,Information Technology,Software & Services
RPMGLOBAL HOLDINGS LTD,"27,587","35,544.06","31,300.83","(4,243.23)",AUSTRALIA,Information Technology,Software & Services
PRAEMIUM LTD,"71,944","44,575.60","23,004.62","(21,570.98)",AUSTRALIA,Information Technology,Software & Services
BIGTINCAN HOLDINGS LTD,"61,319","51,729.58","21,083.01","(30,646.57)",AUSTRALIA,Information Technology,Software & Services
TESSERENT LTD,"283,942","26,500.70","20,501.54","(5,999.16)",AUSTRALIA,Information Technology,Software & Services
SYMBIO HOLDINGS LTD,"6,481","27,191.51","15,598.31","(11,593.20)",AUSTRALIA,Information Technology,Software & Services
ELMO SOFTWARE LTD,"5,735","24,777.73","8,873.26","(15,904.47)",AUSTRALIA,Information Technology,Software & Services
RECKON LTD,"10,491","15,602.18","8,656.96","(6,945.22)",AUSTRALIA,Information Technology,Software & Services
READYTECH HOLDINGS LTD,"3,971","10,520.96","8,465.04","(2,055.92)",AUSTRALIA,Information Technology,Software & Services
ENVIROSUITE LTD,"59,244","10,434.44","6,314.57","(4,119.87)",AUSTRALIA,Information Technology,Software & Services
INTEGRATED RESEARCH LTD,"15,314","28,869.82","4,422.88","(24,446.94)",AUSTRALIA,Information Technology,Software & Services
CODAN LTD/AUSTRALIA,"33,366","153,973.11","159,691.14","5,718.03",AUSTRALIA,Information Technology,Technology Hardware & Equipment
NOVONIX LTD,"66,423","413,286.53","104,140.77","(309,145.76)",AUSTRALIA,Information Technology,Technology Hardware & Equipment
DICKER DATA LTD,"12,178","49,778.38","92,451.19","42,672.81",AUSTRALIA,Information Technology,Technology Hardware & Equipment
AUDINATE GROUP LTD,"5,216","33,570.18","27,044.34","(6,525.84)",AUSTRALIA,Information Technology,Technology Hardware & Equipment
CATAPULT GROUP INTERNATIONAL L,687,827.63,389.75,(437.88),AUSTRALIA,Information Technology,Technology Hardware & Equipment
BHP GROUP LTD,"790,742","23,278,392.52","22,429,841.64","(848,550.88)",AUSTRALIA,Materials,Materials
BHP GROUP LTD,"714,810","16,814,371.53","19,940,280.07","3,125,908.54",AUSTRALIA,Materials,Materials
SOUTH32 LTD,"3,862,592","7,489,768.88","10,465,078.88","2,975,310.00",AUSTRALIA,Materials,Materials
FORTESCUE METALS GROUP LTD,"868,106","5,851,896.97","10,464,587.68","4,612,690.71",AUSTRALIA,Materials,Materials
RIO TINTO LTD,"142,083","10,914,355.37","10,034,136.62","(880,218.75)",AUSTRALIA,Materials,Materials
BLUESCOPE STEEL LTD,"898,187","10,388,395.55","9,820,448.81","(567,946.74)",AUSTRALIA,Materials,Materials
PERSEUS MINING LTD,"3,463,181","3,584,814.51","3,774,608.42","189,793.91",AUSTRALIA,Materials,Materials
ORICA LTD,"276,090","3,263,252.83","2,993,986.36","(269,266.47)",AUSTRALIA,Materials,Materials
INCITEC PIVOT LTD,"965,268","1,997,628.55","2,197,067.24","199,438.69",AUSTRALIA,Materials,Materials
IGO LTD,"290,565","1,798,160.33","1,986,081.80","187,921.47",AUSTRALIA,Materials,Materials
ALLKEM LTD,"253,791","1,502,762.36","1,799,294.81","296,532.45",AUSTRALIA,Materials,Materials
ILUKA RESOURCES LTD,"255,311","1,478,852.03","1,657,329.91","178,477.88",AUSTRALIA,Materials,Materials
OCEANAGOLD CORP,"814,147","1,857,257.45","1,558,931.03","(298,326.42)",AUSTRALIA,Materials,Materials
NUFARM LTD/AUSTRALIA,"425,460","1,755,733.15","1,489,168.92","(266,564.23)",AUSTRALIA,Materials,Materials
SANDFIRE RESOURCES LTD,"443,649","1,836,853.07","1,357,584.80","(479,268.27)",AUSTRALIA,Materials,Materials
BRICKWORKS LTD,"94,989","1,264,133.15","1,211,017.70","(53,115.45)",AUSTRALIA,Materials,Materials
NEWCREST MINING LTD,"77,692","1,379,062.25","1,116,046.25","(263,016.00)",AUSTRALIA,Materials,Materials
MINERAL RESOURCES LTD,"32,594","856,232.41","1,081,888.25","225,655.84",AUSTRALIA,Materials,Materials
ST BARBARA LTD,"1,866,127","3,155,349.58","962,431.68","(2,192,917.90)",AUSTRALIA,Materials,Materials
OZ MINERALS LTD,"77,502","570,460.48","946,505.89","376,045.41",AUSTRALIA,Materials,Materials
CSR LTD,"310,372","967,314.08","866,514.86","(100,799.22)",AUSTRALIA,Materials,Materials
PILBARA MINERALS LTD,"547,455","609,447.11","862,087.52","252,640.41",AUSTRALIA,Materials,Materials
ORORA LTD,"285,275","626,822.52","716,018.14","89,195.62",AUSTRALIA,Materials,Materials
SILVER LAKE RESOURCES LTD,"808,771","780,043.22","672,943.17","(107,100.05)",AUSTRALIA,Materials,Materials
MMG LTD,"1,512,000","498,449.98","562,644.08","64,194.10",AUSTRALIA,Materials,Materials
REGIS RESOURCES LTD,"628,557","1,054,087.27","561,895.39","(492,191.88)",AUSTRALIA,Materials,Materials
RAMELIUS RESOURCES LTD,"846,861","854,218.21","506,639.25","(347,578.96)",AUSTRALIA,Materials,Materials
BHP GROUP LTD,"8,965","387,412.90","503,653.70","116,240.80",AUSTRALIA,Materials,Materials
ADBRI LTD,"257,458","673,694.66","428,439.21","(245,255.45)",AUSTRALIA,Materials,Materials
PERENTI GLOBAL LTD,"866,835","882,489.07","390,431.80","(492,057.27)",AUSTRALIA,Materials,Materials
ALUMINA LTD,"380,602","410,988.33","383,421.22","(27,567.11)",AUSTRALIA,Materials,Materials
CHAMPION IRON LTD,"95,662","252,161.35","354,564.84","102,403.49",AUSTRALIA,Materials,Materials
DETERRA ROYALTIES LTD,"118,172","402,304.39","344,546.53","(57,757.86)",AUSTRALIA,Materials,Materials
WESTGOLD RESOURCES LTD,"419,648","581,019.91","341,956.57","(239,063.34)",AUSTRALIA,Materials,Materials
GRANGE RESOURCES LTD,"391,953","186,200.48","340,951.00","154,750.52",AUSTRALIA,Materials,Materials
AVZ MINERALS LTD,"624,326","426,272.14","337,258.12","(89,014.02)",AUSTRALIA,Materials,Materials
NORTHERN STAR RESOURCES LTD,"68,135","520,958.16","320,474.74","(200,483.42)",AUSTRALIA,Materials,Materials
MOUNT GIBSON IRON LTD,"749,465","199,902.65","278,299.59","78,396.94",AUSTRALIA,Materials,Materials
CHALICE MINING LTD,"99,593","461,988.96","258,873.78","(203,115.18)",AUSTRALIA,Materials,Materials
WEST AFRICAN RESOURCES LTD,"301,581","234,001.37","250,932.44","16,931.07",AUSTRALIA,Materials,Materials
GOLD ROAD RESOURCES LTD,"264,152","208,484.65","205,257.86","(3,226.79)",AUSTRALIA,Materials,Materials
EVOLUTION MINING LTD,"124,557","326,525.67","203,850.86","(122,674.81)",AUSTRALIA,Materials,Materials
NEWCREST MINING LTD,"13,689","254,530.42","191,441.18","(63,089.24)",AUSTRALIA,Materials,Materials
NICKEL MINES LTD,"280,701","248,575.96","188,198.45","(60,377.51)",AUSTRALIA,Materials,Materials
DE GREY MINING LTD,"311,312","260,819.31","172,329.33","(88,489.98)",AUSTRALIA,Materials,Materials
BORAL LTD,"93,059","234,958.52","165,739.33","(69,219.19)",AUSTRALIA,Materials,Materials
SYRAH RESOURCES LTD,"188,398","279,262.61","159,996.57","(119,266.04)",AUSTRALIA,Materials,Materials
CAPRICORN METALS LTD,"72,966","138,265.34","157,047.96","18,782.62",AUSTRALIA,Materials,Materials
MACA LTD,"329,952","263,086.13","149,748.39","(113,337.74)",AUSTRALIA,Materials,Materials
AURELIA METALS LTD,"846,812","269,265.10","148,489.13","(120,775.97)",AUSTRALIA,Materials,Materials
PACT GROUP HOLDINGS LTD,"117,794","227,753.32","146,206.89","(81,546.43)",AUSTRALIA,Materials,Materials
LIONTOWN RESOURCES LTD,"191,797","254,380.90","139,143.12","(115,237.78)",AUSTRALIA,Materials,Materials
IMDEX LTD,"105,936","119,710.23","134,402.52","14,692.29",AUSTRALIA,Materials,Materials
RED 5 LTD,"719,887","160,884.35","123,757.58","(37,126.77)",AUSTRALIA,Materials,Materials
MINCOR RESOURCES NL,"103,647","127,876.54","119,025.68","(8,850.86)",AUSTRALIA,Materials,Materials
IONEER LTD,"412,983","167,467.02","116,434.98","(51,032.04)",AUSTRALIA,Materials,Materials
CORE LITHIUM LTD,"171,756","171,729.73","112,793.15","(58,936.58)",AUSTRALIA,Materials,Materials
BELLEVUE GOLD LTD,"250,066","195,829.07","110,053.05","(85,776.02)",AUSTRALIA,Materials,Materials
CORONADO GLOBAL RESOURCES INC,"92,475","90,146.55","105,242.17","15,095.62",AUSTRALIA,Materials,Materials
RESOLUTE MINING LTD,"671,169","294,407.46","103,844.11","(190,563.35)",AUSTRALIA,Materials,Materials
LAKE RESOURCES NL,"179,080","174,973.67","96,668.32","(78,305.35)",AUSTRALIA,Materials,Materials
CALIX LTD,"22,477","104,849.82","94,592.62","(10,257.20)",AUSTRALIA,Materials,Materials
JUPITER MINES LTD,"571,307","118,358.61","76,607.56","(41,751.05)",AUSTRALIA,Materials,Materials
ALKANE RESOURCES LTD,"175,131","99,025.30","74,665.88","(24,359.42)",AUSTRALIA,Materials,Materials
NEOMETALS LTD,"104,264","69,684.95","64,885.92","(4,799.03)",AUSTRALIA,Materials,Materials
SAYONA MINING LTD,"611,726","63,053.58","63,098.01",44.43,AUSTRALIA,Materials,Materials
JERVOIS GLOBAL LTD,"167,461","97,845.92","61,031.91","(36,814.01)",AUSTRALIA,Materials,Materials
SOLGOLD PLC,"165,043","78,598.10","58,527.45","(20,070.65)",AUSTRALIA,Materials,Materials
MACMAHON HOLDINGS LTD,"623,528","64,682.59","57,883.83","(6,798.76)",AUSTRALIA,Materials,Materials
ARAFURA RESOURCES LTD,"293,435","44,975.51","57,507.47","12,531.96",AUSTRALIA,Materials,Materials
TEN SIXTY FOUR LTD,"121,114","71,011.88","57,465.99","(13,545.89)",AUSTRALIA,Materials,Materials
AUSTRALIAN STRATEGIC MATERIALS,"24,003","125,083.00","56,944.54","(68,138.46)",AUSTRALIA,Materials,Materials
BASE RESOURCES LTD,"281,644","52,567.76","54,228.29","1,660.53",AUSTRALIA,Materials,Materials
GOULAMINA HOLDINGS PTY LTD,"129,711","78,738.21","49,503.65","(29,234.56)",AUSTRALIA,Materials,Materials
EMERALD RESOURCES NL,"62,498","55,181.50","47,274.42","(7,907.08)",AUSTRALIA,Materials,Materials
PANORAMIC RESOURCES LTD,"280,601","39,091.68","38,591.06",(500.62),AUSTRALIA,Materials,Materials
VULCAN ENERGY RESOURCES LTD,"9,689","75,266.17","36,111.51","(39,154.66)",AUSTRALIA,Materials,Materials
CAPRAL LTD,"6,226","33,590.23","34,036.41",446.18,AUSTRALIA,Materials,Materials
BCI MINERALS LTD,"173,930","61,847.11","31,694.79","(30,152.32)",AUSTRALIA,Materials,Materials
METALS X LTD,"137,403","85,051.05","31,652.54","(53,398.51)",AUSTRALIA,Materials,Materials
GALAN LITHIUM LTD,"37,923","38,258.36","28,424.75","(9,833.61)",AUSTRALIA,Materials,Materials
PANTORO LTD,"197,935","39,199.69","25,860.90","(13,338.79)",AUSTRALIA,Materials,Materials
29METALS LTD,"21,218","39,331.03","25,314.62","(14,016.41)",AUSTRALIA,Materials,Materials
CLOVER CORP LTD,"36,856","40,242.01","25,217.31","(15,024.70)",AUSTRALIA,Materials,Materials
FIREFINCH LTD,"181,596","134,843.11","24,974.89","(109,868.22)",AUSTRALIA,Materials,Materials
DGL GROUP LTD/AU,"11,816","25,580.81","22,425.75","(3,155.06)",AUSTRALIA,Materials,Materials
VULCAN STEEL LTD,"3,943","24,999.32","20,742.24","(4,257.08)",AUSTRALIA,Materials,Materials
CALIDUS RESOURCES LTD,"43,196","31,574.57","17,673.72","(13,900.85)",AUSTRALIA,Materials,Materials
WAGNERS HOLDING CO LTD,"21,310","41,020.18","16,265.74","(24,754.44)",AUSTRALIA,Materials,Materials
HIGHFIELD RESOURCES LTD,"24,697","20,780.54","15,284.60","(5,495.94)",AUSTRALIA,Materials,Materials
SHEFFIELD RESOURCES LTD/AU,"42,971","17,125.94","14,183.52","(2,942.42)",AUSTRALIA,Materials,Materials
GR ENGINEERING SERVICES LTD,"9,236","14,521.33","12,321.20","(2,200.13)",AUSTRALIA,Materials,Materials
ANDROMEDA METALS LTD,"240,586","32,110.08","11,580.73","(20,529.35)",AUSTRALIA,Materials,Materials
POSEIDON NICKEL LTD,"272,350","17,650.09","8,802.23","(8,847.86)",AUSTRALIA,Materials,Materials
SILVER MINES LTD,"97,242","16,358.37","8,692.90","(7,665.47)",AUSTRALIA,Materials,Materials
RED RIVER RESOURCES LTD,"76,769","13,197.36","8,182.48","(5,014.88)",AUSTRALIA,Materials,Materials
RED DIRT METALS LTD,"29,539","15,783.33","8,125.00","(7,658.33)",AUSTRALIA,Materials,Materials
EUROPEAN LITHIUM LTD,"205,707","17,158.32","7,638.54","(9,519.78)",AUSTRALIA,Materials,Materials
ECOGRAF LTD,"43,403","20,376.98","7,610.75","(12,766.23)",AUSTRALIA,Materials,Materials
DGO GOLD LTD,"4,006","10,341.71","6,638.89","(3,702.82)",AUSTRALIA,Materials,Materials
SUNSTONE METALS LTD,"187,675","13,530.00","5,807.47","(7,722.53)",AUSTRALIA,Materials,Materials
AUSGOLD LTD,"168,430","10,316.79","5,327.76","(4,989.03)",AUSTRALIA,Materials,Materials
ORECORP LTD,"18,918","10,451.86","5,203.59","(5,248.27)",AUSTRALIA,Materials,Materials
ALTECH CHEMICALS LTD,"152,108","11,182.31","4,811.47","(6,370.84)",AUSTRALIA,Materials,Materials
REX MINERALS LTD,"49,914","9,702.85","4,633.65","(5,069.20)",AUSTRALIA,Materials,Materials
RUMBLE RESOURCES LTD,"25,700","9,217.54","4,594.88","(4,622.66)",AUSTRALIA,Materials,Materials
DACIAN GOLD LTD,"76,186","22,501.58","4,295.93","(18,205.65)",AUSTRALIA,Materials,Materials
KINGSTON RESOURCES LTD,"64,074","8,828.12","3,568.90","(5,259.22)",AUSTRALIA,Materials,Materials
ELEMENTOS LTD,"10,267","6,937.48","2,859.34","(4,078.14)",AUSTRALIA,Materials,Materials
WIDGIE NICKEL LTD,"11,554",526.38,"2,542.43","2,016.05",AUSTRALIA,Materials,Materials
WILUNA MINING CORP LTD,"15,654","10,297.06","2,529.65","(7,767.41)",AUSTRALIA,Materials,Materials
LUCAPA DIAMOND CO LTD,"22,826","1,369.91",643.55,(726.36),AUSTRALIA,Materials,Materials
GASCOYNE RESOURCES LTD,"2,986","22,332.85",503.06,"(21,829.79)",AUSTRALIA,Materials,Materials
ITECH MINERALS LTD,"2,303",283.76,490.93,207.17,AUSTRALIA,Materials,Materials
JACANA MINERALS LTD,"3,568",710.82,-,(710.82),AUSTRALIA,Materials,Materials
LENDLEASE CORP LTD,"148,955","1,580,125.16","933,127.33","(646,997.83)",AUSTRALIA,Real Estate,Real Estate
SUNLAND GROUP LTD,"155,835","219,466.54","294,689.83","75,223.29",AUSTRALIA,Real Estate,Real Estate
LIFESTYLE COMMUNITIES LTD,"23,980","138,066.34","223,767.23","85,700.89",AUSTRALIA,Real Estate,Real Estate
CENTURIA CAPITAL GROUP,"164,355","357,129.42","204,563.87","(152,565.55)",AUSTRALIA,Real Estate,Real Estate
PEET LTD,"242,001","208,246.80","156,427.27","(51,819.53)",AUSTRALIA,Real Estate,Real Estate
CEDAR WOODS PROPERTIES LTD,"60,713","264,659.84","153,637.41","(111,022.43)",AUSTRALIA,Real Estate,Real Estate
PEXA GROUP LTD,"11,468","140,473.33","109,536.13","(30,937.20)",AUSTRALIA,Real Estate,Real Estate
HOTEL PROPERTY INVESTMENTS,"32,569","73,319.49","69,427.83","(3,891.66)",AUSTRALIA,Real Estate,Real Estate
HOME CONSORTIUM LTD,"16,580","50,429.40","51,419.58",990.18,AUSTRALIA,Real Estate,Real Estate
SERVCORP LTD,"16,137","52,994.80","36,618.81","(16,375.99)",AUSTRALIA,Real Estate,Real Estate
GARDA PROPERTY GROUP,"17,898","20,926.26","18,892.10","(2,034.16)",AUSTRALIA,Real Estate,Real Estate
FINBAR GROUP LTD,"15,773","9,709.34","7,375.49","(2,333.85)",AUSTRALIA,Real Estate,Real Estate
APA GROUP,"377,531","2,882,903.74","2,925,795.60","42,891.86",AUSTRALIA,Utilities,Utilities
ORIGIN ENERGY LTD,"484,148","2,668,084.25","1,907,656.66","(760,427.59)",AUSTRALIA,Utilities,Utilities
AGL ENERGY LTD,"181,043","1,071,433.14","1,027,077.30","(44,355.84)",AUSTRALIA,Utilities,Utilities
ENERGY WORLD CORP LTD,"277,410","54,429.90","11,445.66","(42,984.24)",AUSTRALIA,Utilities,Utilities
TELEKOM AUSTRIA AG,"48,537","378,200.57","322,218.09","(55,982.48)",AUSTRIA,Communication Services,Telecommunication Services
